epoch,critic_reduction: mean-8 - eval/reward_mean,critic_reduction: mean-4 - eval/reward_mean,critic_reduction: mean-2 - eval/reward_mean,critic_reduction: mean-1 - eval/reward_mean,critic_reduction: mean-0.5 - eval/reward_mean,critic_reduction: mean - eval/reward_mean,critic_reduction: edac-halfcheetah-full-replay-230318-212450 - eval/reward_mean
0,-519.1255997,-696.4937924,-717.5354799,-646.7349596,-508.4176583,-598.2865601,-607.5058149
1,-528.9699824,-633.8397428,-636.6749885,-670.5457502,-504.8164487,-572.646786,-579.3364811
2,-480.9922631,-463.4089113,-586.1906183,-729.7538159,-677.2706111,-563.341349,-605.6601683
3,-674.0790086,-635.2962556,-560.6952911,-491.6339237,-1089.312052,-555.3329099,-695.7989729
4,-814.0947861,-536.8722391,-589.8872379,-539.3394601,-1041.391366,-579.8379587,-626.0668667
5,-745.5195002,-584.4065438,-563.6811122,-786.9158386,-889.926215,-578.7085862,-767.1488068
6,-414.3836659,-590.754467,-401.2557464,-1074.813983,-552.9425391,-575.5549039,-430.3101402
7,-570.9071828,-606.8102375,-602.0004575,-1007.569374,-581.7298055,-636.5987288,-423.5012862
8,-589.3854077,-628.637916,-1001.177226,-1015.398215,-660.0691883,-646.6723776,-450.5384086
9,-519.6984516,-691.0621651,-651.4057324,-682.3271259,-538.312398,-616.3052016,-450.3663185
10,-491.8674164,-622.0508625,-463.5380898,-799.7451876,-778.1983137,-666.1477238,-401.476774
11,-577.9737096,-587.1046548,-342.922489,-720.5003741,-811.4121916,-609.358128,-356.1904365
12,-568.2578238,-600.2693993,-261.1415338,-774.2737465,-861.7490517,-606.7605618,-646.1161074
13,-541.3295065,-639.5026152,-389.5982403,-785.5540927,-793.5727413,-600.1877613,-695.0925899
14,-543.0645468,-478.3404463,-591.7086847,-748.2400214,-877.0962418,-627.3531464,-393.129408
15,-563.0843045,-552.6257486,-682.9083198,-826.5491064,-781.5708753,-606.3329484,-435.6180649
16,-587.8097415,-606.7805201,-677.8891499,-893.4278606,-825.6934486,-655.8031031,-434.106077
17,-591.7745125,-614.7557297,-688.5813277,-711.4933945,-947.5138541,-600.1210128,-412.3439988
18,-602.914944,-578.0646468,-774.3213632,-522.2564025,-1019.382366,-603.1284983,-660.102745
19,-597.6646576,-634.1714297,-856.0123267,-504.4187803,-947.3609461,-602.2444264,-534.5647321
20,-595.0242322,-605.7677837,-716.0393926,-502.6117828,-934.8227178,-601.1284225,-594.3564245
21,-597.8099003,-581.6189319,-644.2707985,-536.6356418,-967.4461787,-600.4559398,-709.7376854
22,-589.888862,-606.8939457,-740.5512373,-990.2837574,-937.3015578,-605.2920821,-662.3217051
23,-580.7152559,-492.0946611,-730.5976591,-1025.275606,-966.0907907,-609.2726677,-762.1068484
24,-594.1616399,-621.8173298,-790.1869473,-925.8473047,-1010.397116,-1045.38503,-598.8930664
25,-595.5086948,-567.9435845,-923.5851624,-1003.594496,-1078.972651,-746.3306094,-643.962534
26,-595.9995054,-395.648339,-763.0849885,-970.6615932,-1004.083793,-674.4535982,-675.8209205
27,-599.1087571,-883.5635701,-730.9273556,-967.1793325,-974.5829837,-630.1108134,-616.4463454
28,-597.2372135,-714.1362506,-797.2032859,-917.7718715,-1087.494641,-617.7834152,-584.2917218
29,-599.5876985,-583.6156593,-697.7844569,-957.9842577,-1190.825893,-602.5083072,-566.7904247
30,-599.3750949,-575.5969537,-695.5919608,-600.3532092,-1105.308479,-602.0759127,-546.2507785
31,-596.2668895,-528.7296965,-615.8857192,-634.2847441,-1090.415587,-601.328355,-600.8577624
32,-601.0308494,-452.5136107,-604.6566045,-613.8008852,-1060.008205,-600.4904216,-517.15009
33,-596.0835636,-497.7610574,-562.6736718,-572.8325094,-1013.425048,-601.0693578,-514.5988646
34,-595.5260522,-547.2565142,-431.4360278,-670.0127369,-797.193135,-600.0161458,-490.6172421
35,-596.2344678,-378.7607054,-371.4617605,-595.5652611,-646.1829021,-601.22999,-609.9381156
36,-596.1153515,-437.2871265,-311.3518884,-542.0894509,-599.785298,-599.2911203,-568.3371116
37,-558.1299619,-480.7619481,-391.1376933,-635.8173266,-613.0240398,-598.0527802,-492.2472099
38,-597.2601508,-528.3599636,-175.590335,-700.3310334,-657.6911448,-600.5509799,-499.0403978
