epoch;env: halfcheetah-full-replay - eval/reward_mean;env: halfcheetah-expert - eval/reward_mean;env: halfcheetah-medium-v2 - eval/reward_mean
0;-569.7512897623649;-468.7600704104743;-539.0895975958812
1;-470.02445210160744;-587.1034761269239;-441.9442582242835
2;-561.602054178507;-547.6646646017957;-476.6465659247724
3;-581.721777908384;-616.7752750207076;-547.0785385914593
4;-612.8968254165334;-769.341003130148;-569.6337817111761
5;-675.9594484122895;-667.4043682590335;-842.9340130012743
6;-569.124520102009;-724.5955969901759;-748.4519301987931
7;-501.1633570498689;-749.4762694837448;-503.6689628947007
8;-571.1971315729132;-669.380135397962;-531.0335872041136
9;-557.4908022992955;-737.538004041061;-538.8994301311171
10;-420.18057385902705;-660.1593327773107;-552.6431525522028
11;-381.5525542407314;-715.6473647640006;-596.0021360616253
12;-536.1687319371958;-691.1383080381745;-611.6901944875929
13;-580.4892409176896;-642.4182675915907;-569.1301899502264
14;-429.0237336841308;-650.2621142427561;-603.9420228399824
15;-441.3078381588144;-557.4720162696154;-436.6000366843382
16;-568.3116215058269;-543.9827042974262;-496.9017067832855
17;-594.7711877455171;-589.6463912923198;-566.0927755959322
18;-717.1730032464576;-602.6979351929875;-493.79323669848463
19;-649.6365328032483;-587.9666351476021;-543.8443913381574
20;-646.1591819475454;-592.7167288927383;-648.826536917287
21;-642.5826932906947;-599.8836318836059;-702.8621309292117
22;-597.2364580169933;-639.0009236691528;-666.0966685890987
23;-661.8580021425747;-598.0182184298424;-668.8117780462605
24;-603.1089672154194;-647.2283903080719;-589.129028749394
25;-636.6617761343002;-611.6772852532791;-662.1581092514035
26;-622.3902653490804;-579.760235551319;-678.0702176839363
27;-578.3066162653539;-648.2947125605433;-648.9168809459104
28;-565.4529472397006;-577.9600391512266;-696.078564013587
29;-587.7422658957048;-594.2784134802274;-565.2476446056868
30;-542.394359321624;-654.5515047785261;-573.3263799336678
31;-580.8295396301764;-527.214662898748;-639.9856385735571
32;-553.2930399979737;-552.8013812723455;-623.5813322472961
33;-551.8148362239995;-567.1235478289112;-571.0356502307864
34;-582.2745811667698;-516.8282452318213;-527.9682741389126
35;-783.3005793756158;-521.6094453499734;-533.7094482729866
36;-852.3072104199484;-501.95209051149857;-587.6674689710624
37;-716.7249374000371;-521.5471642741755;-557.7148110257565
38;-568.8160488956667;-580.6416483478763;-611.3767790695235
39;-532.6126541390239;-552.436886132883;-585.0139279072155
40;-557.0097969443829;-565.7905830605621;-536.0737989588807
41;-566.1503030367282;-556.0024582712321;-536.8264076982858
42;-566.2331263247925;-570.672179924707;-596.0818461262323
43;-611.8885221909807;-564.3681316888577;-619.9413867168578
44;-592.1182863690307;-611.2424399685123;-610.2643006147749
45;-563.1036014545842;-506.5636415725713;-590.3541468172455
46;-620.7266195338325;-528.6101787547691;-618.1089900029112
47;-585.1951546281692;-492.5182841263497;-615.5729293931072
48;-600.2893022589985;-521.1876453230645;-617.5903036418568
49;-588.2418450703005;-532.8013270714737;-607.8836230885879
50;-620.2632655290346;-487.52130070648855;-645.9467673471802
51;-721.3898552793985;-491.6535867775934;-619.5823902657419
52;-631.9345218631126;-503.03016436926606;-592.1034605670299
53;-619.3355598273364;-551.0649969678695;-674.3225517370149
54;-609.3057640852505;-585.5873095248091;-680.1080379051432
55;-589.4306644835737;-533.3456180020286;-683.351280221181
56;-600.1489451670307;-551.8396596062302;-678.8238517155477
57;-596.3575819651842;-607.5487617673228;-723.6745599957021
58;-599.0971176336964;-543.2110548524093;-751.8389586005992
59;-587.3676273839669;-557.3671464782517;-709.673914195039
60;-565.5882134173286;-549.895651596468;-764.4355342148517
61;-549.8505590343146;-572.8119718972714;-728.2451709057192
62;-583.0022900208954;-527.4375872503103;-714.7400329007692
63;-596.8115968576556;-470.8886593682057;-755.9286307522125
64;-581.5639348231009;-532.297774213031;-627.0561700540235
65;-533.7155038409481;-520.6943574198647;-730.9713609846119
66;-574.3638508689097;-547.0522097982428;-645.1079505403366
67;-577.9369356431055;-530.1284186455289;-639.2156073546796
68;-579.2626184915193;-516.0593992612029;-716.6991218250697
69;-576.4042397150956;-569.1866790217293;-749.7863686010621
70;-572.2126549682804;-525.0297598896693;-710.9855425816738
71;-565.7313993796247;-513.9562815736205;-739.0673222286545
72;-592.2321341845609;-566.4378251629225;-829.4429864546871
73;-570.5117848260641;-515.019123081282;-749.159007195813
74;-534.7805509082668;-480.8754459650256;-856.4721838695947
75;-557.0832629837969;-532.5326444301234;-785.8676897757218
76;-581.6994291712003;-540.340536062582;-933.7226240869744
77;-581.2873155917673;-565.5085219691887;-931.7228363555357
78;-595.8997794148762;-525.5816721681178;-736.3133688251079
79;-586.7824536573974;-530.5677637796191;-780.9466587445088
80;-565.7281301797891;-568.773434108418;-708.9182625829396
81;-559.2679026128211;-599.8188737528121;-761.9010294493057
82;-554.5824002225552;-564.9023985923858;-570.6532318017703
83;-570.3808469424239;-569.1040824128596;-647.0405774253308
84;-529.129367237093;-595.7773794466493;-601.3934942426642
85;-528.0335962270785;-601.975722317884;-684.3337930186542
86;-561.2062667061234;-601.3494730452319;-636.0480342257657
87;-552.6925979851394;-525.0134158699248;-694.3385198408079
88;-576.1774540367633;-529.7942689820327;-409.60865064397296
89;-580.3035204545198;-534.6859879310947;-648.316694784696
90;-573.208170079139;-585.1652473810992;-594.5322349955079
91;-560.5136274174075;-558.0168362386864;-641.2751149553369
