epoch;num_critics: 10 - eval/reward_mean;num_critics: 50 - eval/reward_mean;num_critics: 20 - eval/reward_mean;num_critics: 2 - eval/reward_mean;num_critics: 5 - eval/reward_mean;SAC-20;SAC-10
0;-529.151492691981;-570.2413142569975;-738.3687676944063;-687.8298909845398;-651.9998036533399;-633.4514170944283;-616.8050504752903
1;-548.3419966745349;-531.974000865009;-868.5840229355384;-828.8952712959148;-606.5881119247622;-552.8778592525914;-597.7637975880099
2;-627.0905174235309;-579.023733468154;-566.1612115522125;-741.9750471518879;-534.5345397922779;-563.9214105111631;-586.4550769424147
3;-573.0558191178337;-578.5118309358922;-851.6753397058135;-837.6207476023512;-665.5476142417172;-523.9114829910644;-420.5823307853246
4;-624.9962368057559;-587.8536574173215;-61.675076878199135;-581.0346636229976;-581.4695528660898;-552.5388906540695;-757.4844394734837
5;-380.15908017466586;-635.5267957336193;-369.22260610086715;-613.7777043849254;-675.7776752798488;-543.8023422809171;-882.8223480060608
6;-635.8653784220508;-798.6901912118313;-665.3672717661908;-708.4852347305748;-510.53230361415785;-680.0205934617475;-540.2938670135414
7;-594.1405560020855;-726.0183908521233;-633.9554122215297;-670.1066851877961;-515.1557618188392;-636.8436566442804;-618.0876135585205
8;-587.2208059495663;-777.4172804940774;-682.2313723009327;-674.3049966384166;-539.5881623349019;-598.6573355161253;-840.8707383837952
9;-565.4758634954372;-770.8526503002107;-612.8932441712153;-622.1553007055488;-570.7142417907417;-618.8525645845649;-641.9817476971335
10;-401.02933465456016;-792.4851959880923;-678.4445746864775;-575.7010833280265;-511.7638182514387;-664.7061851434394;-957.8777687778468
11;-394.6716675688523;-760.684901699739;-691.919904389674;-603.9319959364653;-471.64754564386897;-503.5543968088967;-592.1394851959014
12;-398.5312418835989;-769.207630259828;-501.95966660283574;-620.4982366385427;-623.1927533365656;-755.5789448533767;-517.9905503976349
13;-444.87219743894514;-742.266525984998;-585.2905441074709;-606.6414139378932;-667.2976025458104;-772.4794994431659;-774.3188695567075
14;-400.06840614998066;-543.9136475242285;-796.694274165867;-580.3506415824443;-435.7349271489826;-719.7303834739203;-594.1191126029614
15;-563.7381288926431;-644.6788686852683;-735.3404225123434;-629.7892535413525;-494.1219067666983;-607.6446535085372;-736.2890159993806
16;-719.85530945708;-668.6057998454983;-672.6813931327134;-603.5218354406545;-520.443298539353;-519.7420912135068;-889.3448577583886
17;-742.9716039335574;-367.7125850107687;-662.4879107750662;-598.6654367742494;-513.5498642469664;-670.2497904120572;-835.7213515525915
18;-676.532503371213;-725.9810301618584;-680.4523605071698;-583.9254682099456;-619.0836959021833;-806.088641938798;-1005.2235463639997
19;-727.2555934458692;-663.9011777979487;-761.7966412592276;-596.9089788704081;-584.3680809110854;-787.6974184146527;-835.5668295734697
20;-690.2250432756223;-779.9209775549891;-771.6027590271051;-809.5766282295228;-600.0621040987835;-753.9297804066064;-995.7100136151499
21;-621.9413741451356;-663.3082515859873;-810.5104658799293;-849.2350862654723;-645.6783086751842;-677.2444882755474;-839.1017909571717
22;-572.7118096051706;-697.8338204788457;-732.6010692537322;-799.7685347772524;-634.6078254032652;-721.6001129422295;-700.3833967020602
23;-647.1746446105308;-815.7894882749249;-684.402342570354;-868.5400596720292;-627.1007547386326;-682.2824994200025;-679.8241245149156
24;-626.9187789564338;-676.5954117104117;-626.0047742567046;-780.9334699837439;-610.355198073185;-752.1378947931596;-586.4929103969018
25;-667.1549991407383;-703.2400903771429;-703.6351404131713;-787.0268336791386;-605.9530592653932;-701.2899972440732;-672.34380553238
26;-702.2044981814647;-635.0096346673505;-589.2190139166712;-803.2059792094208;-535.7346297522969;-664.2543323581178;-616.6899591265303
27;-671.6007468901257;-566.6555828967828;-564.6158087222522;-794.1076244498606;-750.0049577552847;-678.3828330187223;-627.568123299465
28;-606.7336552565266;-609.8388125484338;-524.4141079776797;-817.6468114162019;-649.2139861948244;-570.6084956694715;-697.4800258117482
29;-586.5683447206311;-642.2150487097408;-500.56211858384177;-794.857127154228;-575.2030419948683;-631.0494826755339;-696.41141530227
30;-575.4990786172502;-507.0459944567218;-546.0419285737282;-841.1189215838325;-560.9238660993776;-587.7528572815474;-716.4267813380764
31;-549.8148732856243;-521.5653542588094;-486.7716365015258;-786.9629402907537;-564.7937294611573;-565.3390910709908;-715.0620112883331
32;-579.1773706998084;-558.8336738755855;-547.6716790311652;-915.8918488301039;-484.8318503550844;-612.6199136209498;-766.2889550534716
33;-543.0565800294823;-531.1735581059029;-563.9294589524106;-719.1954395223777;-506.179960993215;-616.3278666281865;-763.3416940961012
34;-614.6831630601648;-533.2415260913607;-608.4980264535772;-805.4929848737794;-518.9368781741272;-722.670160823571;-600.5442706824931
35;-775.6360015887606;-603.5089736086018;-573.697350953604;-762.3124651621147;-494.349410521349;-602.5513014716671;-743.1880898712541
36;-909.3490477479033;-645.1807843441234;-585.0420482449929;-829.2504910936572;-502.8121190567394;-510.77641564748546;-749.5814448787394
37;-831.9703664426253;-683.0782912821971;-634.7304796676033;-681.827273181448;-486.50457899294145;-607.7143841701527;-684.6237595451472
38;-683.2597799186293;-398.1319233722584;-708.4744489884868;-806.0658100425649;-513.7001807120719;-484.634980780175;-638.2968175178299
39;-652.2088303503759;-279.5459968810722;-733.4630268708147;-707.4431607391298;-471.05494740522204;-618.8038490879015;-671.8278659585214
40;-729.8514655057172;-344.7452182565495;-701.7891285362638;-873.9145826667364;-453.6271356618653;-816.5359398523393;-570.2551642648244
41;-764.3134420142628;-149.52332922946403;-790.1532922574181;-720.9184347090015;-490.28836125298716;-620.8524047011038;-421.7675331984042
42;-701.9759208866649;-182.98102272161302;-1178.0063767951874;-776.9578020762526;-533.8138528786562;-706.4973677606438;-557.5016860915762
43;-840.1528149749109;-157.3340376218768;-1125.9747938063024;-677.2274873672139;-583.7974446161178;-686.4848716864052;-578.1393426811363
44;-847.2331130933289;-238.60058204736902;-867.7687951724849;-756.1226108271857;-571.3157387228422;-642.7072395743437;-622.0017386477517
45;-810.8413480172014;-139.0019786362252;-848.3434577296081;-726.9889803935486;-532.176961677821;-499.3434320427779;-564.1200306098386
46;-685.2205584074402;-198.29471780911675;-921.4645125613036;-808.1777102819856;-528.0575575081148;-543.5012309060568;-530.0709926801985
