"epoch","num_critics: 10 - _step","num_critics: 10 - _step__MIN","num_critics: 10 - _step__MAX","num_critics: 10 - eval/reward_mean","num_critics: 10 - eval/reward_mean__MIN","num_critics: 10 - eval/reward_mean__MAX","num_critics: 50 - _step","num_critics: 50 - _step__MIN","num_critics: 50 - _step__MAX","num_critics: 50 - eval/reward_mean","num_critics: 50 - eval/reward_mean__MIN","num_critics: 50 - eval/reward_mean__MAX","num_critics: 20 - _step","num_critics: 20 - _step__MIN","num_critics: 20 - _step__MAX","num_critics: 20 - eval/reward_mean","num_critics: 20 - eval/reward_mean__MIN","num_critics: 20 - eval/reward_mean__MAX","num_critics: 2 - _step","num_critics: 2 - _step__MIN","num_critics: 2 - _step__MAX","num_critics: 2 - eval/reward_mean","num_critics: 2 - eval/reward_mean__MIN","num_critics: 2 - eval/reward_mean__MAX","num_critics: 5 - _step","num_critics: 5 - _step__MIN","num_critics: 5 - _step__MAX","num_critics: 5 - eval/reward_mean","num_critics: 5 - eval/reward_mean__MIN","num_critics: 5 - eval/reward_mean__MAX"
"0","0","0","0","-529.151492691981","-531.9967646217298","-526.3062207622322","0","0","0","-570.2413142569975","-570.2413142569975","-570.2413142569975","0","0","0","-738.3687676944063","-738.3687676944063","-738.3687676944063","0","0","0","-687.8298909845398","-687.8298909845398","-687.8298909845398","0","0","0","-651.9998036533399","-696.4937924036797","-607.5058149030001"
"1","1","1","1","-548.3419966745349","-735.9715702324568","-360.7124231166131","1","1","1","-531.974000865009","-531.974000865009","-531.974000865009","1","1","1","-868.5840229355384","-868.5840229355384","-868.5840229355384","1","1","1","-828.8952712959148","-828.8952712959148","-828.8952712959148","1","1","1","-606.5881119247622","-633.8397427629227","-579.3364810866018"
"2","2","2","2","-627.0905174235309","-736.6370948000541","-517.5439400470077","2","2","2","-579.023733468154","-579.023733468154","-579.023733468154","2","2","2","-566.1612115522125","-566.1612115522125","-566.1612115522125","2","2","2","-741.9750471518879","-741.9750471518879","-741.9750471518879","2","2","2","-534.5345397922779","-605.6601683100064","-463.40891127454944"
"3","3","3","3","-573.0558191178337","-678.4670553431645","-467.64458289250297","3","3","3","-578.5118309358922","-578.5118309358922","-578.5118309358922","3","3","3","-851.6753397058135","-851.6753397058135","-851.6753397058135","3","3","3","-837.6207476023512","-837.6207476023512","-837.6207476023512","3","3","3","-665.5476142417172","-695.7989729242648","-635.2962555591696"
"4","4","4","4","-624.9962368057559","-650.2656894399936","-599.7267841715181","4","4","4","-587.8536574173215","-587.8536574173215","-587.8536574173215","4","4","4","-61.675076878199135","-61.675076878199135","-61.675076878199135","4","4","4","-581.0346636229976","-581.0346636229976","-581.0346636229976","4","4","4","-581.4695528660898","-626.0668666615486","-536.8722390706308"
"5","5","5","5","-380.15908017466586","-584.7700900736048","-175.54807027572696","5","5","5","-635.5267957336193","-635.5267957336193","-635.5267957336193","5","5","5","-369.22260610086715","-369.22260610086715","-369.22260610086715","5","5","5","-613.7777043849254","-613.7777043849254","-613.7777043849254","5","5","5","-675.7776752798488","-767.1488067509741","-584.4065438087234"
"6","6","6","6","-635.8653784220508","-707.9388999752507","-563.7918568688508","6","6","6","-798.6901912118313","-798.6901912118313","-798.6901912118313","6","6","6","-665.3672717661908","-665.3672717661908","-665.3672717661908","6","6","6","-708.4852347305748","-708.4852347305748","-708.4852347305748","6","6","6","-510.53230361415785","-590.7544669995484","-430.31014022876735"
"7","7","7","7","-594.1405560020855","-609.4556840802775","-578.8254279238936","7","7","7","-726.0183908521233","-726.0183908521233","-726.0183908521233","7","7","7","-633.9554122215297","-633.9554122215297","-633.9554122215297","7","7","7","-670.1066851877961","-670.1066851877961","-670.1066851877961","7","7","7","-515.1557618188392","-606.810237461834","-423.50128617584426"
"8","8","8","8","-587.2208059495663","-691.8558545020198","-482.58575739711284","8","8","8","-777.4172804940774","-777.4172804940774","-777.4172804940774","8","8","8","-682.2313723009327","-682.2313723009327","-682.2313723009327","8","8","8","-674.3049966384166","-674.3049966384166","-674.3049966384166","8","8","8","-539.5881623349019","-628.637916025997","-450.53840864380663"
"9","9","9","9","-565.4758634954372","-664.6152861471587","-466.3364408437157","9","9","9","-770.8526503002107","-770.8526503002107","-770.8526503002107","9","9","9","-612.8932441712153","-612.8932441712153","-612.8932441712153","9","9","9","-622.1553007055488","-622.1553007055488","-622.1553007055488","9","9","9","-570.7142417907417","-691.062165130051","-450.3663184514324"
