"epoch","num_critics: 20 - _step","num_critics: 20 - _step__MIN","num_critics: 20 - _step__MAX","num_critics: 20 - eval/reward_mean","num_critics: 20 - eval/reward_mean__MIN","num_critics: 20 - eval/reward_mean__MAX","num_critics: 10 - _step","num_critics: 10 - _step__MIN","num_critics: 10 - _step__MAX","num_critics: 10 - eval/reward_mean","num_critics: 10 - eval/reward_mean__MIN","num_critics: 10 - eval/reward_mean__MAX"
"0","0","0","0","-633.4514170944283","-633.4514170944283","-633.4514170944283","0","0","0","-616.8050504752903","-616.8050504752903","-616.8050504752903"
"1","1","1","1","-552.8778592525914","-552.8778592525914","-552.8778592525914","1","1","1","-597.7637975880099","-597.7637975880099","-597.7637975880099"
"2","2","2","2","-563.9214105111631","-563.9214105111631","-563.9214105111631","2","2","2","-586.4550769424147","-586.4550769424147","-586.4550769424147"
"3","3","3","3","-523.9114829910644","-523.9114829910644","-523.9114829910644","3","3","3","-420.5823307853246","-420.5823307853246","-420.5823307853246"
"4","4","4","4","-552.5388906540695","-552.5388906540695","-552.5388906540695","4","4","4","-757.4844394734837","-757.4844394734837","-757.4844394734837"
"5","5","5","5","-543.8023422809171","-543.8023422809171","-543.8023422809171","5","5","5","-882.8223480060608","-882.8223480060608","-882.8223480060608"
"6","6","6","6","-680.0205934617475","-680.0205934617475","-680.0205934617475","6","6","6","-540.2938670135414","-540.2938670135414","-540.2938670135414"
"7","7","7","7","-636.8436566442804","-636.8436566442804","-636.8436566442804","7","7","7","-618.0876135585205","-618.0876135585205","-618.0876135585205"
"8","8","8","8","-598.6573355161253","-598.6573355161253","-598.6573355161253","8","8","8","-840.8707383837952","-840.8707383837952","-840.8707383837952"
"9","9","9","9","-618.8525645845649","-618.8525645845649","-618.8525645845649","9","9","9","-641.9817476971335","-641.9817476971335","-641.9817476971335"
"10","10","10","10","-664.7061851434394","-664.7061851434394","-664.7061851434394","10","10","10","-957.8777687778468","-957.8777687778468","-957.8777687778468"
"11","11","11","11","-503.5543968088967","-503.5543968088967","-503.5543968088967","11","11","11","-592.1394851959014","-592.1394851959014","-592.1394851959014"
"12","12","12","12","-755.5789448533767","-755.5789448533767","-755.5789448533767","12","12","12","-517.9905503976349","-517.9905503976349","-517.9905503976349"
"13","13","13","13","-772.4794994431659","-772.4794994431659","-772.4794994431659","13","13","13","-774.3188695567075","-774.3188695567075","-774.3188695567075"
"14","14","14","14","-719.7303834739203","-719.7303834739203","-719.7303834739203","14","14","14","-594.1191126029614","-594.1191126029614","-594.1191126029614"
"15","15","15","15","-607.6446535085372","-607.6446535085372","-607.6446535085372","15","15","15","-736.2890159993806","-736.2890159993806","-736.2890159993806"
"16","16","16","16","-519.7420912135068","-519.7420912135068","-519.7420912135068","16","16","16","-889.3448577583886","-889.3448577583886","-889.3448577583886"
"17","17","17","17","-670.2497904120572","-670.2497904120572","-670.2497904120572","17","17","17","-835.7213515525915","-835.7213515525915","-835.7213515525915"
"18","18","18","18","-806.088641938798","-806.088641938798","-806.088641938798","18","18","18","-1005.2235463639997","-1005.2235463639997","-1005.2235463639997"
"19","19","19","19","-787.6974184146527","-787.6974184146527","-787.6974184146527","19","19","19","-835.5668295734697","-835.5668295734697","-835.5668295734697"
"20","20","20","20","-753.9297804066064","-753.9297804066064","-753.9297804066064","20","20","20","-995.7100136151499","-995.7100136151499","-995.7100136151499"
"21","21","21","21","-677.2444882755474","-677.2444882755474","-677.2444882755474","21","21","21","-839.1017909571717","-839.1017909571717","-839.1017909571717"
"22","22","22","22","-721.6001129422295","-721.6001129422295","-721.6001129422295","22","22","22","-700.3833967020602","-700.3833967020602","-700.3833967020602"
"23","23","23","23","-682.2824994200025","-682.2824994200025","-682.2824994200025","23","23","23","-679.8241245149156","-679.8241245149156","-679.8241245149156"
